names,aMCA,bMCA,CA,CDCA,DCA,LCA,UDCA,TaMCA,TbMCA,TCA,TCDCA,TDCA,TLCA,TUDCA,GCA,GCDCA,GDCA,type
4654S.d,0.630252101,19.64285714,36.68993021,1.436567164,5.008091304,9.814008706,4.981154386,2.941176471,42.23259762,77.72020725,3.676470588,3.682572614,0.773195876,4.761904762,0.393700787,0,0,wt_7w
4659S.d,1.151260504,33.92857143,92.32303091,6.156716418,11.59185759,7.993668381,4.53772818,10.52036199,90.83191851,134.7150259,7.720588235,6.27593361,2.835051546,8.906525573,1.181102362,0,0.099009901,wt_7w
4661S.d,1.151260504,16.07142857,64.20737787,6.063432836,8.584021804,9.734863474,4.887369744,11.87782805,63.03056027,85.49222798,9.191176471,9.491701245,3.865979381,10.84656085,1.181102362,0.005348837,0.008118812,wt_7w
4664S.d,1.680672269,5.357142857,10.46859422,1.884328358,9.760667746,3.16580926,3.133545193,8.484162896,64.51612903,129.5336788,4.166666667,4.668049793,1.546391753,10.40564374,2.755905512,0.23255814,0.297029703,wt_7w
4666S.d,0.420168067,5.357142857,23.82851446,1.940298507,10.41648923,5.500593589,3.946493238,9.954751131,82.97962649,222.7979275,5.759803922,6.06846473,0.515463918,12.96296296,5.118110236,0.23255814,0.198019802,wt_7w
4665S.d,0.210084034,14.28571429,17.79661017,1.884328358,11.93254408,5.30273051,4.064740226,4.751131222,126.2733447,343.6960276,5.024509804,3.630705394,0.515463918,7.671957672,2.755905512,0.465116279,0,sav_7w
4667S.d,0.420168067,10.71428571,21.38584247,42.63059701,16.0378162,2.651365255,5.306333604,22.73755656,348.8964346,1158.894646,8.578431373,3.890041494,0.773195876,21.25220459,6.299212598,0,0.099009901,sav_7w
4668S.d,0.420168067,17.85714286,15.70289133,1.212686567,8.883400051,5.223585279,4.271672456,7.239819005,304.1171477,614.4214162,4.779411765,2.230290456,0.515463918,14.19753086,2.755905512,0.465116279,0.198019802,sav_7w
4656S.d,0.840336134,26.78571429,102.0438684,3.115671642,79.95060046,7.320933914,4.641194295,94.68325792,5870.118846,16755.18135,54.77941176,19.34647303,2.319587629,131.9223986,56.2992126,0.23255814,0,dko_7w
4657S.d,1.260504202,16.07142857,45.66301097,2.649253731,53.07043693,3.047091413,4.33079595,18.66515837,3267.826825,12673.57513,6.740196078,6.32780083,1.288659794,21.25220459,16.14173228,0,0.099009901,dko_7w
