,aMCA,bMCA,CA,CDCA,DCA,LCA,UDCA,TaMCA,TbMCA,TCA,TCDCA,TDCA,TLCA,TUDCA,GCA,GCDCA,GDCA
F12.wt_3w,2.955233188,26.84330236,62.54390129,7.933898819,46.36349339,7.538702384,46.24419028,41.18454088,731.2935076,902.5554741,16.11167823,10.41391377,3.511405792,50.23686375,7.848080126,0.778528181,0.369893726
M1.wt_4w,1.368357562,19.9840302,7.105265612,1.818735697,32.44179251,4.386160333,19.58081188,19.60848126,215.4866182,362.1149943,21.46228236,10.12684837,2.738295314,48.47306337,6.722235334,2.577365391,0.308709239
M10.wt_3w,3.795569323,22.91521487,137.5258948,7.276396643,50.24647276,6.457362339,30.82031919,38.46502333,564.8213003,818.7733698,19.73920237,12.81116622,4.123455146,40.97492161,4.710556617,0.250015841,0.885515497
M100.wt_14w,16.39498865,14.00987225,21.80495779,2.881147451,18.88001514,6.899021431,16.87101158,113.2183968,225.2168873,216.004977,36.78654461,17.53509014,6.282067048,91.02563255,12.99579123,2.049888494,1.494041245
M101.wt_14w,26.22012308,133.2970383,101.9278386,17.64601804,60.91603549,10.61564731,77.63692005,223.4182039,325.4851653,290.53855,36.22098703,30.1300168,10.3413881,131.2115435,22.83831091,2.409509394,2.201576894
M11.wt_3w,2.532253778,35.16260163,14.69782759,2.565039009,19.70981047,4.525211054,13.59650067,31.5171806,487.1875642,745.5522719,14.43578575,4.316339584,3.092612709,38.09820687,5.991714762,0.495316949,0.923340911
M11.wt_6w,3.168128566,17.39740612,27.90795655,2.083027628,20.73680938,6.553600742,14.67272308,15.27365981,56.26381519,83.01819211,7.282864245,7.976362201,2.83488075,21.80065709,3.156936787,0.23255814,0.247524753
M12.wt_6w,5.484675622,16.78039102,33.60108755,3.368991169,20.97855079,5.59425794,16.85114481,15.73977865,43.06452247,126.7520412,10.50329775,13.47566767,3.962479419,21.65419784,4.148519242,0.465116279,0.198019802
M13.wt_6w,4.837555461,15.88753388,39.11885768,1.972471875,18.51007791,6.553600742,14.66201799,20.75936295,57.25942859,81.89345132,4.879071373,6.982114343,1.771843168,19.83940062,2.365869968,0.11627907,0.049504951
M2.wt_4w,0.953812182,24.17247387,24.97100969,1.593834018,23.36002728,14.59445397,11.32709622,18.73365298,288.2978865,325.2005404,15.49329833,8.646042954,2.351697376,40.2726649,4.352700123,0.338053519,0.209699338
M2.wt_8w,9.689167639,32.11624081,23.0253135,1.495669869,54.7415616,4.531104198,27.9792565,53.62797979,133.7563858,162.5342149,9.304923069,25.18166884,3.833528042,58.81922179,5.916507542,0.781602417,0.963953132
